,IRRs
0,0.03787482959174627
1,0.053533083204372445
2,0.053533083204372445
3,0.06969211949239856
4,0.0558316126094123
5,0.07187120026254581
6,0.07187120026254581
7,0.08842499017255169
8,0.0558316126094123
9,0.07187120026254581
10,0.07187120026254581
11,0.08842499017255169
12,0.07426692070768848
13,0.0906959438138822
14,0.0906959438138822
15,0.10764652628052397
16,0.05851136076094448
17,0.07445097636803973
18,0.07445097636803973
19,0.09090780300946803
20,0.0768379570950039
21,0.09317101704635265
22,0.09317101704635265
23,0.11002854775774758
24,0.0768379570950039
25,0.09317101704635265
26,0.09317101704635265
27,0.11002854775774758
28,0.09565872807186568
29,0.11238700092818986
30,0.11238700092818986
31,0.129648547646583
32,0.05851136076094448
33,0.07445097636803973
34,0.07445097636803973
35,0.09090780300946803
36,0.0768379570950039
37,0.09317101704635265
38,0.09317101704635265
39,0.11002854775774758
40,0.0768379570950039
41,0.09317101704635265
42,0.09317101704635265
43,0.11002854775774758
44,0.09565872807186568
45,0.11238700092818986
46,0.11238700092818986
47,0.129648547646583
48,0.07967580005220973
49,0.09590327673004485
50,0.09590327673004485
51,0.11265838422359857
52,0.09838158086962831
53,0.1150085050734967
54,0.1150085050734967
55,0.1321717533226507
56,0.09838158086962831
57,0.1150085050734967
58,0.1150085050734967
59,0.1321717533226507
60,0.11759162693252674
61,0.13462099040090458
62,0.13462099040090458
63,0.15219643922223378
64,0.061659047790691014
65,0.07752691995138421
66,0.07752691995138421
67,0.09391350890562386
68,0.07991022591896012
69,0.0961735116693479
70,0.0961735116693479
71,0.11296274026150088
72,0.07991022591896012
73,0.0961735116693479
74,0.0961735116693479
75,0.11296274026150088
76,0.09865765995790773
77,0.1153180810559913
78,0.1153180810559913
79,0.13251320790017942
80,0.08275170386218982
81,0.09890931678410947
82,0.09890931678410947
83,0.1155960178593993
84,0.10138398350352118
85,0.11794296008639736
86,0.11794296008639736
87,0.1350396803688123
88,0.10138398350352118
89,0.11794296008639736
90,0.11794296008639736
91,0.1350396803688123
92,0.12052255482723973
93,0.13748583622486718
94,0.13748583622486718
95,0.15499658141317557
96,0.08275170386218982
97,0.09890931678410947
98,0.09890931678410947
99,0.1155960178593993
100,0.10138398350352118
101,0.11794296008639736
102,0.11794296008639736
103,0.1350396803688123
104,0.10138398350352118
105,0.11794296008639736
106,0.11794296008639736
107,0.1350396803688123
108,0.12052255482723973
109,0.13748583622486718
110,0.13748583622486718
111,0.15499658141317557
112,0.10439327096811889
113,0.12084065495781064
114,0.12084065495781064
115,0.13782907604631706
116,0.12341004420583183
117,0.14026618995957993
118,0.14026618995957993
119,0.15767297675751474
120,0.12341004420583183
121,0.14026618995957993
122,0.14026618995957993
123,0.15767297675751474
124,0.14294463045023387
125,0.160213210068188
126,0.160213210068188
127,0.1780414458973438
128,0.061659047790691014
129,0.07752691995138421
130,0.07752691995138421
131,0.09391350890562386
132,0.07991022591896012
133,0.0961735116693479
134,0.0961735116693479
135,0.11296274026150088
136,0.07991022591896012
137,0.0961735116693479
138,0.0961735116693479
139,0.11296274026150088
140,0.09865765995790773
141,0.1153180810559913
142,0.1153180810559913
143,0.13251320790017942
144,0.08275170386218982
145,0.09890931678410947
146,0.09890931678410947
147,0.1155960178593993
148,0.10138398350352118
149,0.11794296008639736
150,0.11794296008639736
151,0.1350396803688123
152,0.10138398350352118
153,0.11794296008639736
154,0.11794296008639736
155,0.1350396803688123
156,0.12052255482723973
