,IRRs
0,0.0970797038255874
1,0.09859978650543008
2,0.09859978650543008
3,0.10026877738649927
4,0.1004405089939067
5,0.10209995067209582
6,0.10209995067209582
7,0.10392144732130443
8,0.1004405089939067
9,0.10209995067209582
10,0.10209995067209582
11,0.10392144732130443
12,0.1041154048597321
13,0.10592552168234023
14,0.10592552168234023
15,0.10791099539277402
16,0.1026793209802627
17,0.10433055009055368
18,0.10433055009055368
19,0.1061430879158398
20,0.10634011964335403
21,0.10814135200607973
22,0.10814135200607973
23,0.11011714624397134
24,0.10634011964335403
25,0.10814135200607973
26,0.10814135200607973
27,0.11011714624397134
28,0.1103396065908165
29,0.11230196061565868
30,0.11230196061565868
31,0.11445303773270248
32,0.1026793209802627
33,0.10433055009055368
34,0.10433055009055368
35,0.1061430879158398
36,0.10634011964335403
37,0.10814135200607973
38,0.10814135200607973
39,0.11011714624397134
40,0.10634011964335403
41,0.10814135200607973
42,0.10814135200607973
43,0.11011714624397134
44,0.1103396065908165
45,0.11230196061565868
46,0.11230196061565868
47,0.11445303773270248
48,0.10879661995600007
49,0.11058806629646376
50,0.11058806629646376
51,0.11255319843373153
52,0.11277924588555957
53,0.11473103499389752
54,0.11473103499389752
55,0.11687061603960586
56,0.11277924588555957
57,0.11473103499389752
58,0.11473103499389752
59,0.11687061603960586
60,0.11712594303981859
61,0.11924969855922588
62,0.11924969855922588
63,0.13481350768292347
64,0.10541881936364271
65,0.10706408543985896
66,0.10706408543985896
67,0.10887011170230032
68,0.10907136103017975
69,0.11086611418476511
70,0.11086611418476511
71,0.11283484160682561
72,0.10907136103017975
73,0.11086611418476511
74,0.11086611418476511
75,0.11283484160682561
76,0.11306185553454222
77,0.11501718136139137
78,0.11501718136139137
79,0.11716060201666371
80,0.11153106160828181
81,0.11331601622054781
82,0.11331601622054781
83,0.11527406776590553
84,0.11550462722376217
85,0.11744937514689256
86,0.11744937514689256
87,0.11958128542879212
88,0.11550462722376217
89,0.11744937514689256
90,0.11744937514689256
91,0.11958128542879212
92,0.1198414733661142
93,0.12195760501126945
94,0.12195760501126945
95,0.13746701126874336
96,0.11153106160828181
97,0.11331601622054781
98,0.11331601622054781
99,0.11527406776590553
100,0.11550462722376217
101,0.11744937514689256
102,0.11744937514689256
103,0.11958128542879212
104,0.11550462722376217
105,0.11744937514689256
106,0.11744937514689256
107,0.11958128542879212
108,0.1198414733661142
109,0.12195760501126945
110,0.12195760501126945
111,0.13746701126874336
112,0.11820174677695254
113,0.1201348487543278
114,0.1201348487543278
115,0.12225408589179083
116,0.12251839091529151
117,0.12462197695355946
118,0.12462197695355946
119,0.14004228140808697
120,0.12251839091529151
121,0.12462197695355946
122,0.12462197695355946
123,0.14004228140808697
124,0.12722466723384596
125,0.14252450733337013
126,0.14252450733337013
127,0.1602135687855453
128,0.10541881936364271
129,0.10706408543985896
130,0.10706408543985896
131,0.10887011170230032
132,0.10907136103017975
133,0.11086611418476511
134,0.11086611418476511
135,0.11283484160682561
136,0.10907136103017975
137,0.11086611418476511
138,0.11086611418476511
139,0.11283484160682561
140,0.11306185553454222
141,0.11501718136139137
142,0.11501718136139137
143,0.11716060201666371
144,0.11153106160828181
145,0.11331601622054781
146,0.11331601622054781
147,0.11527406776590553
148,0.11550462722376217
149,0.11744937514689256
150,0.11744937514689256
151,0.11958128542879212
152,0.11550462722376217
153,0.11744937514689256
154,0.11744937514689256
155,0.11958128542879212
156,0.1198414733661142
157,0.12195760501126945
158,0.12195760501126945
159,0.13746701126874336
160,0.11153106160828181
161,0.11331601622054781
162,0.11331601622054781
163,0.11527406776590553
164,0.11550462722376217
165,0.11744937514689256
166,0.11744937514689256
167,0.11958128542879212
168,0.11550462722376217
169,0.11744937514689256
170,0.11744937514689256
171,0.11958128542879212
172,0.1198414733661142
173,0.12195760501126945
174,0.12195760501126945
175,0.13746701126874336
176,0.11820174677695254
177,0.1201348487543278
178,0.1201348487543278
179,0.12225408589179083
180,0.12251839091529151
181,0.12462197695355946
182,0.12462197695355946
183,0.14004228140808697
184,0.12251839091529151
185,0.12462197695355946
186,0.12462197695355946
187,0.14004228140808697
188,0.12722466723384596
189,0.14252450733337013
190,0.14252450733337013
191,0.1602135687855453
192,0.11456503745419457
193,0.11634275922598099
194,0.11634275922598099
195,0.11829292186134019
196,0.11852843839694727
197,0.12046534226175658
198,0.12046534226175658
199,0.12258870714193205
