,0,1,2,3,4,5,6,7,8,9,10
0,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.89433,0.84961,0.80713,0.76677
1,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.89433,0.84961,0.80713,0.84749
2,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.89433,0.84961,0.89209,0.84749
3,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.89433,0.84961,0.89209,0.93669
4,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.89433,0.93904,0.89209,0.84749
5,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.89433,0.93904,0.89209,0.93669
6,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.89433,0.93904,0.98599,0.93669
7,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.89433,0.93904,0.98599,1.03529
8,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.98847,0.93904,0.89209,0.84749
9,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.98847,0.93904,0.89209,0.93669
10,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.98847,0.93904,0.98599,0.93669
11,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.98847,0.93904,0.98599,1.03529
12,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.98847,1.03789,0.98599,0.93669
13,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.98847,1.03789,0.98599,1.03529
14,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.98847,1.03789,1.08978,1.03529
15,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,0.9414,0.98847,1.03789,1.08978,1.14427
16,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,0.98847,0.93904,0.89209,0.84749
17,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,0.98847,0.93904,0.89209,0.93669
18,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,0.98847,0.93904,0.98599,0.93669
19,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,0.98847,0.93904,0.98599,1.03529
20,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,0.98847,1.03789,0.98599,0.93669
21,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,0.98847,1.03789,0.98599,1.03529
22,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,0.98847,1.03789,1.08978,1.03529
23,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,0.98847,1.03789,1.08978,1.14427
24,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,1.09251,1.03789,0.98599,0.93669
25,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,1.09251,1.03789,0.98599,1.03529
26,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,1.09251,1.03789,1.08978,1.03529
27,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,1.09251,1.03789,1.08978,1.14427
28,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,1.09251,1.14714,1.08978,1.03529
29,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,1.09251,1.14714,1.08978,1.14427
30,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,1.09251,1.14714,1.2045,1.14427
31,1.28065,1.21662,1.15579,1.098,1.0431,0.99094,1.04049,1.09251,1.14714,1.2045,1.26472
32,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,0.98847,0.93904,0.89209,0.84749
33,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,0.98847,0.93904,0.89209,0.93669
34,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,0.98847,0.93904,0.98599,0.93669
35,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,0.98847,0.93904,0.98599,1.03529
36,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,0.98847,1.03789,0.98599,0.93669
37,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,0.98847,1.03789,0.98599,1.03529
38,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,0.98847,1.03789,1.08978,1.03529
39,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,0.98847,1.03789,1.08978,1.14427
40,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,1.09251,1.03789,0.98599,0.93669
41,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,1.09251,1.03789,0.98599,1.03529
42,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,1.09251,1.03789,1.08978,1.03529
43,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,1.09251,1.03789,1.08978,1.14427
44,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,1.09251,1.14714,1.08978,1.03529
45,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,1.09251,1.14714,1.08978,1.14427
46,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,1.09251,1.14714,1.2045,1.14427
47,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.04049,1.09251,1.14714,1.2045,1.26472
48,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.09251,1.03789,0.98599,0.93669
49,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.09251,1.03789,0.98599,1.03529
50,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.09251,1.03789,1.08978,1.03529
51,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.09251,1.03789,1.08978,1.14427
52,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.09251,1.14714,1.08978,1.03529
53,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.09251,1.14714,1.08978,1.14427
54,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.09251,1.14714,1.2045,1.14427
55,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.09251,1.14714,1.2045,1.26472
56,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.20752,1.14714,1.08978,1.03529
57,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.20752,1.14714,1.08978,1.14427
58,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.20752,1.14714,1.2045,1.14427
